code,industry,shares,bvps,roe_base,list_date,delist_date
000066,医药生物,357749800.8389,1.8277,0.1860,2020-01-02,
000067,医药生物,362415831.4445,2.4236,0.1769,2020-01-02,
000068,医药生物,201349287.9277,1.7681,0.2293,2020-01-02,
000069,医药生物,107353902.0435,1.5775,0.0867,2020-01-02,
000070,医药生物,273348936.9288,1.1057,0.1515,2020-01-02,
000071,医药生物,163902158.4227,1.2770,0.1327,2020-01-02,
000072,医药生物,256170221.4595,1.8732,0.1454,2020-01-02,
000073,医药生物,713514943.6247,1.2669,0.0815,2020-01-02,
000074,医药生物,171371850.3144,3.9557,0.0841,2020-01-02,
000075,医药生物,219201382.6761,4.4036,0.1101,2020-01-02,
000076,电子,191154220.8344,2.9682,0.1148,2020-01-02,
000077,电子,196604637.5154,2.5900,0.1370,2020-01-02,
000078,电子,459109748.7934,3.5226,0.1700,2020-01-02,
000079,电子,360605338.9094,5.3750,0.1742,2020-01-02,
000080,电子,607992481.9654,5.2557,0.1341,2020-01-02,
000081,电子,461650744.5504,1.2174,0.1336,2020-01-02,
000082,电子,650287587.6261,1.9075,0.0992,2020-01-02,
000083,电子,651658980.5396,2.1837,0.1659,2020-01-02,
000084,电子,371610005.4501,2.2469,0.1171,2020-01-02,
000085,电子,105368809.4738,3.8562,0.0665,2020-01-02,
000086,电子,123040435.8218,3.0813,0.1353,2020-01-02,
000087,电子,527666290.5689,1.2463,0.1453,2020-01-02,
000088,电子,289652465.9793,2.8681,0.1006,2020-01-02,
000089,电子,336199990.5684,3.6188,0.1630,2020-01-02,
000090,电子,316989425.7494,1.5084,0.1618,2020-01-02,
000091,电子,226814807.6955,5.1673,0.1864,2020-01-02,
000092,电子,496958788.2290,1.2598,0.1766,2020-01-02,
000093,电子,279354888.4905,5.6242,0.1774,2020-01-02,
000094,电子,240448031.5854,1.4956,0.1169,2020-01-02,
000095,电子,200222135.5231,5.2179,0.2017,2020-01-02,
000096,电子,426857182.1621,5.5133,0.1588,2020-01-02,
000097,电子,230044900.5161,5.8979,0.1377,2020-01-02,
000098,电子,122362944.5462,5.0101,0.1727,2020-01-02,
000099,电子,131221773.2114,4.8974,0.1249,2020-01-02,
000100,电子,916004620.9490,4.2124,0.1523,2020-01-02,
000101,食品饮料,810178456.6026,4.8950,0.1926,2020-01-02,
000102,食品饮料,959947940.9008,1.6728,0.2196,2020-01-02,
000103,食品饮料,184446305.8497,3.6803,0.2258,2020-01-02,
000104,食品饮料,931486097.3818,3.5711,0.1507,2020-01-02,
000105,食品饮料,600829024.2468,5.2879,0.1536,2020-01-02,
000106,食品饮料,1098559089.7282,3.3140,0.2040,2020-01-02,
000107,食品饮料,281424240.1392,2.9254,0.1166,2020-01-02,
000108,食品饮料,187172293.4446,4.1978,0.2107,2020-01-02,
000109,食品饮料,313257383.8752,2.3323,0.1489,2020-01-02,
000110,食品饮料,799102329.2123,1.6988,0.0809,2020-01-02,
000111,食品饮料,285611894.4120,3.3894,0.0730,2020-01-02,
000112,食品饮料,159354145.1092,3.0844,0.2116,2020-01-02,
000113,食品饮料,202281713.6523,2.1628,0.0700,2020-01-02,
000114,食品饮料,880127289.0095,2.8376,0.1105,2020-01-02,
000115,食品饮料,150235574.8017,2.8320,0.1201,2020-01-02,
000116,食品饮料,718810287.5935,2.6375,0.0911,2020-01-02,
000117,食品饮料,573481654.9243,2.8973,0.1165,2020-01-02,
000118,食品饮料,524158889.8814,4.4287,0.1937,2020-01-02,
000119,食品饮料,270453770.0569,2.4844,0.0626,2020-01-02,
000120,食品饮料,564269915.5599,5.7443,0.2089,2020-01-02,
000121,食品饮料,383793812.6109,5.5817,0.2142,2020-01-02,
000122,食品饮料,446525845.5720,3.4046,0.1270,2020-01-02,
000123,食品饮料,121463088.8355,2.6418,0.0877,2020-01-02,
000124,食品饮料,378245716.5385,3.6772,0.1682,2020-01-02,
000125,食品饮料,232031745.2280,5.2428,0.0815,2020-01-02,
000126,机械设备,311882365.3116,4.2629,0.1257,2020-01-02,
000127,机械设备,213727896.9231,5.0220,0.2325,2020-01-02,
000128,机械设备,243036807.2524,3.6636,0.2392,2020-01-02,
000129,机械设备,126882862.4642,4.1646,0.1990,2020-01-02,
000130,机械设备,386940841.8326,2.4408,0.1160,2020-01-02,
000131,机械设备,340654995.6300,4.6745,0.1838,2020-01-02,
000132,机械设备,841627889.2413,2.0120,0.1870,2020-01-02,
000133,机械设备,1060640737.4534,4.4740,0.1298,2020-01-02,
000134,机械设备,562320974.9801,5.3036,0.1754,2020-01-02,
000135,机械设备,627883278.4884,1.6605,0.0619,2020-01-02,
000136,机械设备,105391083.8930,4.0719,0.0976,2020-01-02,
000137,机械设备,908990225.5505,1.4755,0.1545,2020-01-02,
000138,机械设备,303601167.2444,4.6286,0.0895,2020-01-02,
000139,机械设备,606366538.3691,1.4225,0.0899,2020-01-02,
000140,机械设备,120984574.0831,5.6797,0.2105,2020-01-02,
000141,机械设备,1032644568.5189,1.6870,0.2380,2020-01-02,
000142,机械设备,309533026.6785,5.7944,0.1601,2020-01-02,
000143,机械设备,866615505.1060,5.0044,0.2110,2020-01-02,
000144,机械设备,655360163.6277,3.9684,0.2383,2020-01-02,
000145,机械设备,637721240.6523,4.9131,0.0855,2020-01-02,
000146,机械设备,184916499.2933,4.9756,0.1407,2020-01-02,
000147,机械设备,214569998.0927,5.7301,0.1307,2020-01-02,
000148,机械设备,331644196.9322,2.2669,0.0744,2020-01-02,
000149,机械设备,402237170.4310,3.9504,0.1960,2020-01-02,
000150,机械设备,105102266.0925,1.4752,0.1381,2020-01-02,
000151,汽车,670335044.0227,4.0808,0.1445,2020-01-02,
000152,汽车,1991935403.6885,1.8565,0.0871,2020-01-02,
000153,汽车,138117620.9174,3.8248,0.0926,2020-01-02,
000154,汽车,358126240.4082,3.8622,0.2233,2020-01-02,
000155,汽车,128403168.6598,3.3299,0.0680,2020-01-02,
000156,汽车,470153954.1716,3.6132,0.1019,2020-01-02,
000157,汽车,191088162.3056,4.8196,0.1126,2020-01-02,
000158,汽车,456480925.3532,4.9962,0.1482,2020-01-02,
000159,汽车,533328281.6091,3.4608,0.1656,2020-01-02,
000160,汽车,587012692.7307,3.9980,0.1488,2020-01-02,
000161,汽车,128156590.8267,5.6562,0.0751,2020-01-02,
000162,汽车,1752060917.6286,1.5987,0.1039,2020-01-02,
000163,汽车,169908063.8056,1.5855,0.2118,2020-01-02,
000164,汽车,108996500.9274,1.4385,0.1748,2020-01-02,
000165,汽车,750207804.4932,4.2893,0.1768,2020-01-02,
000166,汽车,234921239.6326,3.0930,0.1806,2020-01-02,
000167,汽车,675755739.6338,4.8716,0.1973,2020-01-02,
000168,汽车,926006348.5811,4.3562,0.0705,2020-01-02,
000169,汽车,437594772.7713,2.6682,0.1260,2020-01-02,
000170,汽车,897220927.9299,5.4918,0.1571,2020-01-02,
000171,汽车,374505660.0183,4.8127,0.1209,2020-01-02,
000172,汽车,627476805.3883,2.3527,0.2120,2020-01-02,
000173,汽车,380100397.0777,2.8210,0.1469,2020-01-02,
000174,汽车,863065129.3500,2.5722,0.1984,2020-01-02,
000175,汽车,231399808.3026,1.7881,0.2134,2020-01-02,
000176,电力公用,214316343.5814,1.7389,0.1509,2020-01-02,
000177,电力公用,272330986.9643,5.6806,0.2237,2020-01-02,
000178,电力公用,1898979322.7332,3.1895,0.1657,2020-01-02,
000179,电力公用,779250816.9512,2.9166,0.2130,2020-01-02,
000180,电力公用,1310804916.4072,4.6484,0.1213,2020-01-02,2021-01-29
000181,电力公用,777664888.2093,3.7650,0.1498,2020-01-02,
000182,电力公用,3135568520.6745,5.6807,0.1557,2020-01-02,
000183,电力公用,330261812.7871,4.9015,0.0789,2020-01-02,
000184,电力公用,528016695.5632,3.3968,0.1317,2020-01-02,
000185,电力公用,1810974275.1040,2.8818,0.2251,2020-01-02,2021-09-30
000186,电力公用,458839991.6293,5.9332,0.1735,2020-01-02,
000187,电力公用,548256320.0904,4.5888,0.0920,2020-01-02,
000188,电力公用,198529920.9155,5.7560,0.1210,2020-01-02,
000189,电力公用,558199716.2006,1.5924,0.0945,2020-01-02,
000190,电力公用,183003971.9868,5.2527,0.0645,2020-01-02,2022-05-31
000191,电力公用,864595857.7930,4.1854,0.2269,2020-01-02,
000192,电力公用,174168886.3785,1.6096,0.1407,2020-01-02,
000193,电力公用,132665479.9141,3.9413,0.1154,2020-01-02,
000194,电力公用,677817335.8029,4.4305,0.1677,2020-01-02,
000195,电力公用,300066525.3509,1.0615,0.0613,2020-01-02,
000196,电力公用,151101337.3497,3.2716,0.1100,2020-01-02,
000197,电力公用,397541792.4239,5.1270,0.1865,2020-01-02,
000198,电力公用,749138368.5100,2.4768,0.1741,2020-01-02,
000199,电力公用,251069505.5191,3.2927,0.2367,2020-01-02,
000200,电力公用,204326018.7279,3.2116,0.1717,2020-01-02,
