code,ex_date,cash,bonus
000016,2024-07-01,0.0703,0.0000
000016,2024-09-30,0.0969,0.0000
000016,2024-12-31,0.3683,0.0000
000017,2020-03-31,0.2282,0.2000
000017,2020-06-30,0.3228,0.0000
000017,2020-09-30,0.3492,0.2000
000017,2020-12-31,0.3229,0.0000
000017,2021-03-31,0.4130,0.0000
000017,2021-06-30,0.1783,0.0000
000017,2021-09-30,0.1629,0.0000
000017,2021-12-31,0.2200,0.2000
000017,2022-03-31,0.3414,0.0000
000017,2022-06-30,0.4283,0.0000
000017,2022-09-30,0.4581,0.1000
000017,2023-01-02,0.3418,0.0000
000017,2023-03-31,0.0635,0.0000
000017,2023-06-30,0.2299,0.0000
000017,2023-10-02,0.4923,0.0000
000017,2024-01-01,0.3758,0.0000
000017,2024-04-01,0.0624,0.1000
000017,2024-07-01,0.1363,0.0000
000017,2024-09-30,0.0911,0.0000
000017,2024-12-31,0.3998,0.1000
000028,2020-03-31,0.1209,0.1000
000028,2020-06-30,0.1975,0.2000
000028,2020-09-30,0.3879,0.1000
000028,2020-12-31,0.4430,0.2000
000028,2021-03-31,0.2686,0.2000
000028,2021-06-30,0.2154,0.2000
000028,2021-09-30,0.2981,0.1000
000028,2021-12-31,0.2843,0.0000
000028,2022-03-31,0.1631,0.0000
000028,2022-06-30,0.2931,0.0000
000028,2022-09-30,0.3938,0.2000
000028,2023-01-02,0.3656,0.0000
000028,2023-03-31,0.4845,0.1000
000028,2023-06-30,0.1231,0.0000
000028,2023-10-02,0.1821,0.0000
000028,2024-01-01,0.3225,0.0000
000028,2024-04-01,0.4193,0.1000
000028,2024-07-01,0.1141,0.0000
000028,2024-09-30,0.4966,0.0000
000028,2024-12-31,0.2886,0.0000
000030,2020-03-31,0.2729,0.0000
000030,2020-06-30,0.0644,0.1000
000030,2020-09-30,0.3777,0.0000
000030,2020-12-31,0.0893,0.0000
000030,2021-03-31,0.2703,0.2000
000030,2021-06-30,0.3477,0.1000
000030,2021-09-30,0.2140,0.0000
000030,2021-12-31,0.3017,0.1000
000030,2022-03-31,0.2762,0.0000
000030,2022-06-30,0.3383,0.0000
000030,2022-09-30,0.4499,0.0000
000030,2023-01-02,0.0839,0.0000
000030,2023-03-31,0.0567,0.0000
000030,2023-06-30,0.3096,0.0000
000030,2023-10-02,0.3224,0.0000
000030,2024-01-01,0.3837,0.0000
000030,2024-04-01,0.0776,0.0000
000030,2024-07-01,0.1948,0.0000
000030,2024-09-30,0.1421,0.0000
000030,2024-12-31,0.1244,0.2000
000033,2020-03-31,0.1956,0.1000
000033,2020-06-30,0.1136,0.2000
000033,2020-09-30,0.3898,0.0000
000033,2020-12-31,0.0970,0.0000
000033,2021-03-31,0.2215,0.0000
000033,2021-06-30,0.4178,0.1000
000033,2021-09-30,0.0806,0.0000
000033,2021-12-31,0.3223,0.0000
000033,2022-03-31,0.1041,0.0000
000033,2022-06-30,0.2015,0.0000
000033,2022-09-30,0.3010,0.0000
000033,2023-01-02,0.3172,0.0000
000033,2023-03-31,0.2284,0.0000
000033,2023-06-30,0.4797,0.2000
000033,2023-10-02,0.3611,0.1000
000033,2024-01-01,0.4892,0.0000
000033,2024-04-01,0.2410,0.0000
000033,2024-07-01,0.1292,0.1000
000033,2024-09-30,0.3037,0.0000
000033,2024-12-31,0.0785,0.0000
000036,2020-03-31,0.2158,0.0000
000036,2020-06-30,0.4129,0.0000
000036,2020-09-30,0.2815,0.2000
000036,2020-12-31,0.4517,0.0000
000036,2021-03-31,0.2550,0.0000
000036,2021-06-30,0.1637,0.1000
000036,2021-09-30,0.3773,0.1000
000036,2021-12-31,0.4287,0.1000
000036,2022-03-31,0.2338,0.0000
000036,2022-06-30,0.3362,0.0000
000036,2022-09-30,0.4797,0.1000
000036,2023-01-02,0.3317,0.2000
000036,2023-03-31,0.3785,0.0000
000036,2023-06-30,0.0608,0.0000
000036,2023-10-02,0.2761,0.0000
000036,2024-01-01,0.3562,0.1000
000036,2024-04-01,0.0959,0.0000
000036,2024-07-01,0.1449,0.0000
000036,2024-09-30,0.3785,0.0000
000036,2024-12-31,0.0714,0.2000
000037,2020-03-31,0.3698,0.1000
000037,2020-06-30,0.3356,0.0000
000037,2020-09-30,0.2172,0.0000
000037,2020-12-31,0.2287,0.0000
000037,2021-03-31,0.1730,0.1000
000037,2021-06-30,0.4462,0.2000
000037,2021-09-30,0.1793,0.0000
000037,2021-12-31,0.0634,0.0000
000037,2022-03-31,0.2972,0.0000
000037,2022-06-30,0.3296,0.0000
000037,2022-09-30,0.3626,0.0000
000037,2023-01-02,0.3551,0.1000
000037,2023-03-31,0.3458,0.0000
000037,2023-06-30,0.4697,0.1000
000037,2023-10-02,0.0510,0.0000
000037,2024-01-01,0.2490,0.0000
000037,2024-04-01,0.1163,0.0000
000037,2024-07-01,0.4218,0.0000
000037,2024-09-30,0.2163,0.0000
000037,2024-12-31,0.1726,0.0000
000039,2020-03-31,0.1103,0.0000
000039,2020-06-30,0.4482,0.0000
000039,2020-09-30,0.3214,0.0000
000039,2020-12-31,0.2651,0.0000
000039,2021-03-31,0.3441,0.1000
000039,2021-06-30,0.3508,0.0000
000039,2021-09-30,0.3931,0.0000
000039,2021-12-31,0.3806,0.1000
000039,2022-03-31,0.0634,0.0000
000039,2022-06-30,0.2589,0.0000
000039,2022-09-30,0.1464,0.0000
000039,2023-01-02,0.1122,0.1000
000039,2023-03-31,0.2007,0.0000
000039,2023-06-30,0.2268,0.1000
000039,2023-10-02,0.1247,0.0000
000039,2024-01-01,0.2877,0.1000
000039,2024-04-01,0.3651,0.0000
000039,2024-07-01,0.3841,0.1000
000039,2024-09-30,0.4955,0.1000
000039,2024-12-31,0.1036,0.0000
000041,2020-03-31,0.1614,0.0000
000041,2020-06-30,0.0851,0.0000
000041,2020-09-30,0.3033,0.0000
000041,2020-12-31,0.2799,0.0000
000041,2021-03-31,0.3130,0.1000
000041,2021-06-30,0.1175,0.0000
000041,2021-09-30,0.1946,0.0000
000041,2021-12-31,0.2909,0.0000
000041,2022-03-31,0.2244,0.1000
000041,2022-06-30,0.0649,0.0000
000041,2022-09-30,0.4261,0.0000
000041,2023-01-02,0.4795,0.0000
000041,2023-03-31,0.2065,0.1000
000041,2023-06-30,0.2300,0.1000
000041,2023-10-02,0.1992,0.1000
000041,2024-01-01,0.3696,0.0000
000041,2024-04-01,0.1271,0.0000
000041,2024-07-01,0.4755,0.0000
000041,2024-09-30,0.2992,0.0000
000041,2024-12-31,0.4815,0.1000
000043,2020-03-31,0.0940,0.0000
000043,2020-06-30,0.3286,0.0000
000043,2020-09-30,0.0844,0.0000
000043,2020-12-31,0.4779,0.0000
000043,2021-03-31,0.1692,0.0000
000043,2021-06-30,0.1942,0.0000
000043,2021-09-30,0.1342,0.0000
000043,2021-12-31,0.3704,0.0000
000043,2022-03-31,0.0630,0.0000
000043,2022-06-30,0.2055,0.0000
000043,2022-09-30,0.1061,0.2000
000043,2023-01-02,0.2627,0.1000
000043,2023-03-31,0.1510,0.1000
000043,2023-06-30,0.3541,0.0000
000043,2023-10-02,0.1616,0.0000
000043,2024-01-01,0.0922,0.1000
000043,2024-04-01,0.1560,0.0000
000043,2024-07-01,0.4094,0.0000
000043,2024-09-30,0.3760,0.1000
000043,2024-12-31,0.4149,0.1000
000045,2020-03-31,0.0723,0.0000
000045,2020-06-30,0.0590,0.0000
000045,2020-09-30,0.1067,0.0000
000045,2020-12-31,0.3136,0.0000
000045,2021-03-31,0.2477,0.0000
000045,2021-06-30,0.1122,0.0000
000045,2021-09-30,0.3281,0.0000
000045,2021-12-31,0.4050,0.0000
000045,2022-03-31,0.4834,0.0000
000045,2022-06-30,0.4355,0.2000
000045,2022-09-30,0.2301,0.1000
000045,2023-01-02,0.2557,0.0000
000045,2023-03-31,0.0841,0.0000
000045,2023-06-30,0.1991,0.0000
000045,2023-10-02,0.0969,0.0000
000045,2024-01-01,0.4036,0.0000
000045,2024-04-01,0.2840,0.0000
000045,2024-07-01,0.0745,0.0000
000045,2024-09-30,0.4001,0.0000
000045,2024-12-31,0.0825,0.0000
000046,2020-03-31,0.0819,0.0000
000046,2020-06-30,0.1088,0.2000
000046,2020-09-30,0.4416,0.1000
000046,2020-12-31,0.1300,0.0000
000046,2021-03-31,0.2599,0.0000
000046,2021-06-30,0.0866,0.1000
000046,2021-09-30,0.2405,0.1000
000046,2021-12-31,0.3457,0.0000
000046,2022-03-31,0.4691,0.0000
000046,2022-06-30,0.2696,0.2000
000046,2022-09-30,0.1181,0.0000
000046,2023-01-02,0.1878,0.0000
000046,2023-03-31,0.0608,0.0000
000046,2023-06-30,0.3256,0.1000
000046,2023-10-02,0.4348,0.0000
000046,2024-01-01,0.1383,0.0000
000046,2024-04-01,0.0781,0.0000
000046,2024-07-01,0.3696,0.1000
000046,2024-09-30,0.1179,0.0000
000046,2024-12-31,0.4583,0.2000
000048,2020-03-31,0.1022,0.0000
000048,2020-06-30,0.1178,0.0000
000048,2020-09-30,0.1846,0.0000
000048,2020-12-31,0.1633,0.0000
000048,2021-03-31,0.0793,0.0000
000048,2021-06-30,0.2469,0.0000
000048,2021-09-30,0.1253,0.0000
000048,2021-12-31,0.4889,0.0000
000048,2022-03-31,0.1556,0.0000
000048,2022-06-30,0.1841,0.0000
000048,2022-09-30,0.2646,0.2000
000048,2023-01-02,0.4735,0.0000
000048,2023-03-31,0.2680,0.0000
000048,2023-06-30,0.2563,0.0000
000048,2023-10-02,0.1824,0.2000
000048,2024-01-01,0.2368,0.0000
000048,2024-04-01,0.3814,0.1000
000048,2024-07-01,0.1613,0.0000
000048,2024-09-30,0.1997,0.1000
000048,2024-12-31,0.2623,0.2000
000049,2020-03-31,0.4193,0.1000
000049,2020-06-30,0.0926,0.0000
000049,2020-09-30,0.4519,0.0000
000049,2020-12-31,0.3338,0.2000
000049,2021-03-31,0.1574,0.2000
000049,2021-06-30,0.4467,0.0000
000049,2021-09-30,0.2815,0.0000
000049,2021-12-31,0.3810,0.0000
000049,2022-03-31,0.2553,0.0000
000049,2022-06-30,0.2359,0.0000
000049,2022-09-30,0.2204,0.0000
000049,2023-01-02,0.0760,0.0000
000049,2023-03-31,0.3911,0.2000
000049,2023-06-30,0.0500,0.1000
000049,2023-10-02,0.4625,0.0000
000049,2024-01-01,0.4344,0.0000
000049,2024-04-01,0.2705,0.0000
000049,2024-07-01,0.2350,0.0000
000049,2024-09-30,0.2580,0.0000
000049,2024-12-31,0.1548,0.0000
000054,2020-03-31,0.2369,0.0000
000054,2020-06-30,0.4573,0.1000
000054,2020-09-30,0.1389,0.0000
000054,2020-12-31,0.1852,0.1000
000054,2021-03-31,0.3858,0.0000
000054,2021-06-30,0.1260,0.0000
000054,2021-09-30,0.2956,0.1000
000054,2021-12-31,0.4635,0.0000
000054,2022-03-31,0.1039,0.0000
000054,2022-06-30,0.1341,0.0000
000054,2022-09-30,0.3039,0.0000
000054,2023-01-02,0.2614,0.0000
000054,2023-03-31,0.3569,0.0000
000054,2023-06-30,0.3570,0.0000
000054,2023-10-02,0.4346,0.0000
000054,2024-01-01,0.0665,0.2000
000054,2024-04-01,0.2940,0.0000
000054,2024-07-01,0.2060,0.0000
000054,2024-09-30,0.4370,0.0000
000054,2024-12-31,0.1458,0.0000
000055,2020-03-31,0.4348,0.0000
000055,2020-06-30,0.0714,0.0000
000055,2020-09-30,0.3403,0.0000
000055,2020-12-31,0.3150,0.0000
000055,2021-03-31,0.2804,0.0000
000055,2021-06-30,0.3197,0.1000
000055,2021-09-30,0.4809,0.1000
000055,2021-12-31,0.1521,0.0000
000055,2022-03-31,0.2184,0.0000
000055,2022-06-30,0.4423,0.1000
000055,2022-09-30,0.4479,0.0000
000055,2023-01-02,0.4638,0.0000
000055,2023-03-31,0.2793,0.0000
000055,2023-06-30,0.0561,0.0000
000055,2023-10-02,0.1152,0.0000
000055,2024-01-01,0.1147,0.2000
000055,2024-04-01,0.3810,0.1000
000055,2024-07-01,0.2592,0.0000
000055,2024-09-30,0.4272,0.0000
000055,2024-12-31,0.3147,0.1000
000056,2020-03-31,0.1131,0.0000
000056,2020-06-30,0.0693,0.1000
000056,2020-09-30,0.4956,0.0000
000056,2020-12-31,0.0964,0.0000
000056,2021-03-31,0.3077,0.0000
000056,2021-06-30,0.3552,0.0000
000056,2021-09-30,0.3382,0.0000
000056,2021-12-31,0.4588,0.1000
000056,2022-03-31,0.1979,0.0000
000056,2022-06-30,0.0756,0.1000
000056,2022-09-30,0.2828,0.1000
000056,2023-01-02,0.0715,0.0000
000056,2023-03-31,0.2387,0.2000
000056,2023-06-30,0.4364,0.0000
000056,2023-10-02,0.1446,0.0000
000056,2024-01-01,0.4122,0.0000
000056,2024-04-01,0.2838,0.0000
000056,2024-07-01,0.4965,0.0000
000056,2024-09-30,0.3418,0.0000
000056,2024-12-31,0.4756,0.0000
000063,2020-03-31,0.0873,0.0000
000063,2020-06-30,0.0811,0.0000
000063,2020-09-30,0.0877,0.0000
000063,2020-12-31,0.1658,0.0000
000063,2021-03-31,0.3938,0.0000
000063,2021-06-30,0.4182,0.0000
000063,2021-09-30,0.0677,0.0000
000063,2021-12-31,0.2327,0.0000
000063,2022-03-31,0.4706,0.1000
000063,2022-06-30,0.4997,0.0000
000063,2022-09-30,0.2384,0.0000
000063,2023-01-02,0.3454,0.0000
000063,2023-03-31,0.3701,0.1000
000063,2023-06-30,0.0635,0.0000
000063,2023-10-02,0.1487,0.0000
000063,2024-01-01,0.1177,0.0000
000063,2024-04-01,0.1388,0.0000
000063,2024-07-01,0.3166,0.0000
000063,2024-09-30,0.2111,0.1000
000063,2024-12-31,0.4803,0.0000
000064,2020-03-31,0.2240,0.0000
000064,2020-06-30,0.4494,0.1000
000064,2020-09-30,0.3220,0.0000
000064,2020-12-31,0.2790,0.0000
000064,2021-03-31,0.2827,0.0000
000064,2021-06-30,0.1283,0.0000
000064,2021-09-30,0.2139,0.0000
000064,2021-12-31,0.3472,0.2000
000064,2022-03-31,0.4174,0.2000
000064,2022-06-30,0.3567,0.0000
000064,2022-09-30,0.2775,0.0000
000064,2023-01-02,0.4877,0.0000
000064,2023-03-31,0.4125,0.0000
000064,2023-06-30,0.1800,0.0000
000064,2023-10-02,0.2153,0.2000
000064,2024-01-01,0.4807,0.2000
000064,2024-04-01,0.2111,0.1000
000064,2024-07-01,0.0542,0.0000
000064,2024-09-30,0.1730,0.0000
000064,2024-12-31,0.0699,0.1000
000075,2020-03-31,0.2450,0.1000
000075,2020-06-30,0.2258,0.0000
000075,2020-09-30,0.4325,0.1000
000075,2020-12-31,0.2606,0.0000
000075,2021-03-31,0.4074,0.0000
000075,2021-06-30,0.1127,0.2000
000075,2021-09-30,0.3056,0.0000
000075,2021-12-31,0.1243,0.0000
000075,2022-03-31,0.4744,0.1000
000075,2022-06-30,0.2658,0.0000
000075,2022-09-30,0.3493,0.0000
000075,2023-01-02,0.2727,0.0000
000075,2023-03-31,0.0957,0.2000
000075,2023-06-30,0.3212,0.0000
000075,2023-10-02,0.0564,0.0000
000075,2024-01-01,0.2719,0.0000
000075,2024-04-01,0.0941,0.0000
000075,2024-07-01,0.3261,0.0000
000075,2024-09-30,0.0946,0.0000
000075,2024-12-31,0.3376,0.0000
000082,2020-03-31,0.4516,0.0000
000082,2020-06-30,0.0912,0.0000
000082,2020-09-30,0.2964,0.1000
000082,2020-12-31,0.3587,0.1000
000082,2021-03-31,0.3088,0.2000
000082,2021-06-30,0.3938,0.0000
000082,2021-09-30,0.4259,0.0000
000082,2021-12-31,0.2773,0.1000
000082,2022-03-31,0.4033,0.0000
000082,2022-06-30,0.4735,0.2000
000082,2022-09-30,0.3255,0.0000
000082,2023-01-02,0.3512,0.0000
000082,2023-03-31,0.3672,0.0000
000082,2023-06-30,0.3218,0.0000
000082,2023-10-02,0.2143,0.0000
000082,2024-01-01,0.2940,0.1000
000082,2024-04-01,0.4425,0.1000
000082,2024-07-01,0.4186,0.0000
000082,2024-09-30,0.4315,0.0000
000082,2024-12-31,0.3594,0.1000
000084,2020-03-31,0.3530,0.1000
000084,2020-06-30,0.1670,0.0000
000084,2020-09-30,0.1944,0.0000
000084,2020-12-31,0.3650,0.0000
000084,2021-03-31,0.3664,0.0000
000084,2021-06-30,0.2642,0.0000
000084,2021-09-30,0.3168,0.0000
000084,2021-12-31,0.1619,0.0000
000084,2022-03-31,0.4524,0.0000
000084,2022-06-30,0.1320,0.0000
000084,2022-09-30,0.3073,0.1000
000084,2023-01-02,0.0840,0.2000
000084,2023-03-31,0.1280,0.0000
000084,2023-06-30,0.1948,0.2000
000084,2023-10-02,0.3622,0.0000
000084,2024-01-01,0.3948,0.0000
000084,2024-04-01,0.3406,0.0000
000084,2024-07-01,0.4936,0.2000
000084,2024-09-30,0.2489,0.1000
000084,2024-12-31,0.1265,0.1000
000089,2020-03-31,0.2093,0.0000
000089,2020-06-30,0.0787,0.0000
000089,2020-09-30,0.2622,0.1000
000089,2020-12-31,0.2292,0.0000
000089,2021-03-31,0.4788,0.0000
000089,2021-06-30,0.1360,0.1000
000089,2021-09-30,0.1550,0.1000
000089,2021-12-31,0.2523,0.2000
000089,2022-03-31,0.4081,0.0000
000089,2022-06-30,0.1815,0.0000
000089,2022-09-30,0.4686,0.0000
000089,2023-01-02,0.2234,0.0000
000089,2023-03-31,0.1271,0.1000
000089,2023-06-30,0.4492,0.0000
000089,2023-10-02,0.0556,0.0000
000089,2024-01-01,0.3309,0.0000
000089,2024-04-01,0.4028,0.0000
000089,2024-07-01,0.2632,0.2000
000089,2024-09-30,0.1104,0.0000
000089,2024-12-31,0.2725,0.1000
000091,2020-03-31,0.2908,0.0000
000091,2020-06-30,0.3861,0.0000
000091,2020-09-30,0.0673,0.0000
000091,2020-12-31,0.2530,0.0000
000091,2021-03-31,0.0977,0.2000
000091,2021-06-30,0.3325,0.0000
000091,2021-09-30,0.4073,0.0000
000091,2021-12-31,0.1366,0.0000
000091,2022-03-31,0.2504,0.0000
000091,2022-06-30,0.1436,0.0000
000091,2022-09-30,0.3537,0.0000
000091,2023-01-02,0.1040,0.0000
000091,2023-03-31,0.0583,0.0000
000091,2023-06-30,0.0716,0.0000
000091,2023-10-02,0.0601,0.0000
000091,2024-01-01,0.3439,0.0000
000091,2024-04-01,0.4670,0.0000
000091,2024-07-01,0.2279,0.1000
000091,2024-09-30,0.1884,0.1000
000091,2024-12-31,0.3228,0.1000
000102,2020-03-31,0.0507,0.0000
000102,2020-06-30,0.3826,0.0000
000102,2020-09-30,0.2163,0.0000
000102,2020-12-31,0.0586,0.0000
000102,2021-03-31,0.3063,0.0000
000102,2021-06-30,0.0515,0.1000
000102,2021-09-30,0.4535,0.0000
000102,2021-12-31,0.1825,0.0000
000102,2022-03-31,0.3343,0.0000
000102,2022-06-30,0.0924,0.0000
000102,2022-09-30,0.4309,0.0000
000102,2023-01-02,0.1548,0.0000
000102,2023-03-31,0.3702,0.0000
000102,2023-06-30,0.4778,0.2000
000102,2023-10-02,0.2744,0.2000
000102,2024-01-01,0.1811,0.0000
000102,2024-04-01,0.4581,0.0000
000102,2024-07-01,0.0953,0.1000
000102,2024-09-30,0.2683,0.1000
000102,2024-12-31,0.4242,0.0000
000106,2020-03-31,0.3640,0.0000
000106,2020-06-30,0.4416,0.0000
000106,2020-09-30,0.0862,0.0000
000106,2020-12-31,0.2087,0.0000
000106,2021-03-31,0.2224,0.0000
000106,2021-06-30,0.3291,0.0000
000106,2021-09-30,0.2056,0.1000
000106,2021-12-31,0.1542,0.2000
000106,2022-03-31,0.2287,0.0000
000106,2022-06-30,0.4280,0.0000
000106,2022-09-30,0.3738,0.0000
000106,2023-01-02,0.3780,0.0000
000106,2023-03-31,0.2941,0.0000
000106,2023-06-30,0.1943,0.0000
000106,2023-10-02,0.1746,0.1000
000106,2024-01-01,0.1961,0.0000
000106,2024-04-01,0.2647,0.0000
000106,2024-07-01,0.2590,0.1000
000106,2024-09-30,0.2327,0.1000
000106,2024-12-31,0.4165,0.2000
000109,2020-03-31,0.4840,0.0000
000109,2020-06-30,0.0875,0.0000
000109,2020-09-30,0.3868,0.0000
000109,2020-12-31,0.2624,0.2000
000109,2021-03-31,0.2565,0.0000
000109,2021-06-30,0.4852,0.0000
000109,2021-09-30,0.0915,0.2000
000109,2021-12-31,0.3810,0.0000
000109,2022-03-31,0.1996,0.0000
000109,2022-06-30,0.4952,0.1000
000109,2022-09-30,0.0587,0.2000
000109,2023-01-02,0.2225,0.0000
000109,2023-03-31,0.1360,0.2000
000109,2023-06-30,0.0841,0.1000
000109,2023-10-02,0.2072,0.0000
000109,2024-01-01,0.3762,0.0000
000109,2024-04-01,0.4268,0.0000
000109,2024-07-01,0.0880,0.0000
000109,2024-09-30,0.3333,0.0000
000109,2024-12-31,0.2334,0.0000
000114,2020-03-31,0.3039,0.0000
000114,2020-06-30,0.2579,0.0000
000114,2020-09-30,0.2419,0.1000
000114,2020-12-31,0.3876,0.0000
000114,2021-03-31,0.2454,0.0000
000114,2021-06-30,0.3401,0.0000
000114,2021-09-30,0.4002,0.0000
000114,2021-12-31,0.1932,0.1000
000114,2022-03-31,0.2189,0.2000
000114,2022-06-30,0.0904,0.0000
000114,2022-09-30,0.2175,0.0000
000114,2023-01-02,0.4448,0.0000
000114,2023-03-31,0.3858,0.0000
000114,2023-06-30,0.1600,0.0000
000114,2023-10-02,0.1774,0.2000
000114,2024-01-01,0.3677,0.1000
000114,2024-04-01,0.1475,0.1000
000114,2024-07-01,0.2409,0.0000
000114,2024-09-30,0.0654,0.0000
000114,2024-12-31,0.1634,0.1000
000120,2020-03-31,0.3178,0.0000
000120,2020-06-30,0.1994,0.0000
000120,2020-09-30,0.4362,0.1000
000120,2020-12-31,0.0951,0.0000
000120,2021-03-31,0.3284,0.1000
000120,2021-06-30,0.2737,0.0000
000120,2021-09-30,0.2762,0.0000
000120,2021-12-31,0.0547,0.0000
000120,2022-03-31,0.3169,0.0000
000120,2022-06-30,0.0532,0.0000
000120,2022-09-30,0.2922,0.1000
000120,2023-01-02,0.1131,0.0000
000120,2023-03-31,0.0744,0.0000
000120,2023-06-30,0.2990,0.0000
000120,2023-10-02,0.2188,0.0000
000120,2024-01-01,0.1887,0.0000
000120,2024-04-01,0.4737,0.0000
000120,2024-07-01,0.2734,0.0000
000120,2024-09-30,0.3060,0.0000
000120,2024-12-31,0.2453,0.0000
000124,2020-03-31,0.4525,0.0000
000124,2020-06-30,0.4287,0.0000
000124,2020-09-30,0.1443,0.2000
000124,2020-12-31,0.0504,0.0000
000124,2021-03-31,0.2322,0.0000
000124,2021-06-30,0.3973,0.0000
000124,2021-09-30,0.0722,0.0000
000124,2021-12-31,0.3795,0.0000
000124,2022-03-31,0.3711,0.0000
000124,2022-06-30,0.2557,0.0000
000124,2022-09-30,0.1809,0.0000
000124,2023-01-02,0.1693,0.0000
000124,2023-03-31,0.1300,0.0000
000124,2023-06-30,0.1606,0.0000
000124,2023-10-02,0.4081,0.1000
000124,2024-01-01,0.3214,0.0000
000124,2024-04-01,0.1792,0.0000
000124,2024-07-01,0.4647,0.1000
000124,2024-09-30,0.4523,0.0000
000124,2024-12-31,0.4585,0.0000
000125,2020-03-31,0.3104,0.2000
000125,2020-06-30,0.2218,0.0000
000125,2020-09-30,0.3252,0.0000
000125,2020-12-31,0.0755,0.1000
000125,2021-03-31,0.3864,0.0000
000125,2021-06-30,0.2856,0.0000
000125,2021-09-30,0.4824,0.0000
000125,2021-12-31,0.4977,0.0000
000125,2022-03-31,0.1425,0.0000
000125,2022-06-30,0.4319,0.0000
000125,2022-09-30,0.1757,0.1000
000125,2023-01-02,0.2732,0.0000
000125,2023-03-31,0.1226,0.1000
000125,2023-06-30,0.3198,0.0000
000125,2023-10-02,0.1528,0.0000
000125,2024-01-01,0.4444,0.0000
000125,2024-04-01,0.4735,0.1000
000125,2024-07-01,0.2079,0.0000
